Year,Geno,Row,Plant,WR,Root,Ratio,ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc2,MinorThicc2,K,BL,UL,MOI,E_MPa,E_GPa,MOI_AH,E_GPa_AH,MajorD_AH,MajorD_cm,MinorD_AH,MajorT_AH,MinorT_AH
2019,HP301,1278,5,BWR,4,0.607383,0.736,1.351,1.876,2.387,4.774,3.752,1.036,1.14,193.53781,12.72937,15.14478,12.37772423,1600.407385,1.600407385,12.37772423,1.600407385,4.774,0.4774,3.752,1.036,1.14
2019,HP301,1278,6,BWR,2,0.624261,0.216,1.445,0.723,1.994,3.988,1.446,0.549,0.507,184.15361,13.70616,18.77141,0.591874906,31846.06934,31.84606934,0.591874906,31.84606934,3.988,0.3988,1.446,0.549,0.507
2019,HP301,1278,6,BWR,3,0.624261,0.981,1.24,1.468,1.976,3.952,2.936,0.736,0.487,350.82125,16.17811,26.93003,4.909700366,7313.688009,7.313688009,4.909700366,7.313688009,3.952,0.3952,2.936,0.736,0.487
2019,HP301,1278,7,BWR,1,0.460152,1.03,1.334,1.954,2.35,4.7,3.908,1.016,0.924,168.36868,18.45995,21.27919,13.76992015,1251.513135,1.251513135,13.76992015,1.251513135,4.7,0.47,3.908,1.016,0.924
2019,HP301,1278,7,BWR,2,0.460152,0.848,1.25,1.985,2.548,5.096,3.97,1.298,1.137,275.49584,17.96027,23.62965,15.65203601,1801.564161,1.801564161,15.65203601,1.801564161,5.096,0.5096,3.97,1.298,1.137
2019,HP301,1278,7,BWR,3,0.460152,1.176,1.317,2.046,2.267,4.534,4.092,0.95,0.87,176.21525,19.68126,22.30539,15.24959429,1182.743929,1.182743929,15.24959429,1.182743929,4.534,0.4534,4.092,0.95,0.87
2019,HP301,1278,8,BWR,1,0.541804,0.967,1.356,1.904,2.159,4.318,3.808,0.803,0.937,251.3779,17.4462,28.23718,11.7042437,2198.311667,2.198311667,11.7042437,2.198311667,4.318,0.4318,3.808,0.803,0.937
2019,HP301,1278,8,BWR,2,0.541804,0.765,1.042,1.846,2.152,4.304,3.692,1.11,1.081,190.13415,13.31266,16.72377,10.6323004,1830.368006,1.830368006,10.6323004,1.830368006,4.304,0.4304,3.692,1.11,1.081
2019,HP301,1278,8,BWR,3,0.541804,0.901,1.078,2.214,2.393,4.786,4.428,1.315,1.313,160.19824,9.60592,17.76991,20.39695931,803.8922422,0.803892242,20.39695931,0.803892242,4.786,0.4786,4.428,1.315,1.313
2019,HP301,1278,9,BWR,1,0.896715,0.758,1.052,1.346,1.787,3.574,2.692,0.735,0.588,232.19057,8.9734,11.97118,3.422548519,6943.852561,6.943852561,3.422548519,6.943852561,3.574,0.3574,2.692,0.735,0.588
2019,HP301,1278,9,BWR,2,0.896715,0.344,0.785,0.75,1.301,2.602,1.5,0.516,0.406,126.54824,5.88583,7.09368,0.431073145,30047.66081,30.04766081,0.431073145,30.04766081,2.602,0.2602,1.5,0.516,0.406
2019,HP301,1278,9,BWR,3,0.896715,0.184,0.999,0.708,1.612,3.224,1.416,0.613,0.524,120.65987,9.20685,9.43598,0.449318905,27486.1358,27.4861358,0.449318905,27.4861358,3.224,0.3224,1.416,0.613,0.524
2019,HP301,1278,9,BWR,4,0.896715,0.557,0.774,1.115,1.602,3.204,2.23,0.828,0.558,121.47048,6.3422,8.33243,1.744122542,7128.518469,7.128518469,1.744122542,7.128518469,3.204,0.3204,2.23,0.828,0.558
2019,HP301,1278,10,BWR,1,1.038265,0.949,1.567,1.606,2.278,4.556,3.212,0.711,0.657,221.29806,16.24092,20.15968,7.411058201,3056.348756,3.056348756,7.411058201,3.056348756,4.556,0.4556,3.212,0.711,0.657
2019,HP301,1278,10,BWR,2,1.038265,0.313,1.249,0.821,1.864,3.728,1.642,0.615,0.508,213.66828,14.22085,15.39107,0.810149672,26994.81279,26.99481279,0.810149672,26.99481279,3.728,0.3728,1.642,0.615,0.508
2019,HP301,1278,10,BWR,3,1.038265,0.828,1.156,1.432,1.804,3.608,2.864,0.648,0.604,277.74179,19.79399,21.69601,4.160595246,6832.683254,6.832683254,4.160595246,6.832683254,3.608,0.3608,2.864,0.648,0.604
2019,HP301,1322,6,BWR,1,0.393232,1.292,1.617,2.309,2.769,5.538,4.618,1.152,1.017,155.34025,22.79058,25.16885,26.77223546,593.8884657,0.593888466,26.77223546,0.593888466,5.538,0.5538,4.618,1.152,1.017
2019,HP301,1322,6,BWR,2,0.393232,1.07,1.512,1.716,2.426,4.852,3.432,0.914,0.646,237.15623,20.21201,29.88216,9.627921229,2521.20138,2.52120138,9.627921229,2.52120138,4.852,0.4852,3.432,0.914,0.646
2019,HP301,1322,8,BWR,2,0.502056,0.049,0.054,2.151,2.389,4.778,4.302,2.335,2.102,396.37151,29.49879,40.22722,18.67356606,2172.604605,2.172604605,18.67356606,2.172604605,4.778,0.4778,4.302,2.335,2.102
2019,HP301,1322,8,BWR,3,0.502056,0.043,0.059,1.942,2.436,4.872,3.884,2.377,1.899,303.64665,17.87901,35.80185,14.01247472,2217.987932,2.217987932,14.01247472,2.217987932,4.872,0.4872,3.884,2.377,1.899
2019,HP301,1322,8,BWR,4,0.502056,0.047,0.063,1.9,2.308,4.616,3.8,2.245,1.853,287.75067,17.91789,24.90401,12.43330217,2368.838111,2.368838111,12.43330217,2.368838111,4.616,0.4616,3.8,2.245,1.853
2019,HP301,1322,10,BWR,2,0.394741,0.083,1.09,0.517,1.787,3.574,1.034,0.697,0.434,180.66641,14.28453,15.88927,0.193948338,95344.77066,95.34477066,0.193948338,95.34477066,3.574,0.3574,1.034,0.697,0.434
2019,HP301,1322,10,BWR,3,0.394741,0.155,0.778,0.512,1.181,2.362,1.024,0.403,0.357,158.57231,7.97037,11.89661,0.124494356,130371.6667,130.3716667,0.124494356,130.3716667,2.362,0.2362,1.024,0.403,0.357
2019,HP301,1322,10,BWR,4,0.394741,0.683,1.207,1.808,2.105,4.21,3.616,0.898,1.125,424.25781,26.20021,30.32446,9.770960553,4444.246229,4.444246229,9.770960553,4.444246229,4.21,0.421,3.616,0.898,1.125
2019,HP301,1345,1,BWR,1,0.391176,0.151,1.25,0.714,1.804,3.608,1.428,0.554,0.563,137.49064,15.63258,15.63258,0.515728403,27287.11432,27.28711432,0.515728403,27.28711432,3.608,0.3608,1.428,0.554,0.563
2019,HP301,1345,2,BWR,1,0.238172,0.497,0.789,1.037,1.562,3.124,2.074,0.773,0.54,230.25234,9.80541,15.96215,1.368066411,17226.71224,17.22671224,1.368066411,17.22671224,3.124,0.3124,2.074,0.773,0.54
2019,HP301,1345,6,BWR,1,0.16704,0.114,1.254,0.658,1.881,3.762,1.316,0.627,0.544,155.17486,14.04747,22.1872,0.420878129,37737.27453,37.73727453,0.420878129,37.73727453,3.762,0.3762,1.316,0.627,0.544
2019,HP301,1345,6,BWR,2,0.16704,0.12,1.115,0.562,1.812,3.624,1.124,0.697,0.442,131.12256,19.02845,19.02845,0.252613771,53128.30067,53.12830067,0.252613771,53.12830067,3.624,0.3624,1.124,0.697,0.442
2019,HP301,1345,7,BWR,1,0.189739,0.52,1.095,1.382,1.83,3.66,2.764,0.735,0.862,123.89585,5.34344,13.0889,3.793718481,3342.698343,3.342698343,3.793718481,3.342698343,3.66,0.366,2.764,0.735,0.862
2019,HP301,1345,9,BWR,1,0.469519,0.164,1.104,0.6,1.53,3.06,1.2,0.426,0.436,179.05294,15.52179,17.27278,0.259558385,70607.67642,70.60767642,0.259558385,70.60767642,3.06,0.306,1.2,0.426,0.436
2019,HP301,1345,9,BWR,2,0.469519,0.115,1.098,0.677,1.788,3.576,1.354,0.69,0.562,209.95467,9.36869,17.98354,0.435735959,49318.2507,49.3182507,0.435735959,49.3182507,3.576,0.3576,1.354,0.69,0.562
2019,HP301,1345,9,BWR,3,0.469519,0.889,1.378,1.59,2.055,4.11,3.18,0.677,0.701,149.3605,5.61246,13.27647,6.487734676,2356.39561,2.35639561,6.487734676,2.35639561,4.11,0.411,3.18,0.677,0.701
2019,HP301,1345,9,BWR,4,0.469519,0.565,1.248,1.128,2.019,4.038,2.256,0.771,0.563,149.96116,8.35993,10.64795,2.275901695,6744.205867,6.744205867,2.275901695,6.744205867,4.038,0.4038,2.256,0.771,0.563
2019,HP301,1345,11,BWR,1,0.063981,0.923,1.114,1.945,2.149,4.298,3.89,1.035,1.022,269.18347,7.79633,25.96988,12.41895673,2218.54785,2.21854785,12.41895673,2.21854785,4.298,0.4298,3.89,1.035,1.022
2019,HP301,1393,3,BWR,1,0.821009,0.023,0.042,0.885,1.665,3.33,1.77,1.623,0.862,214.56433,10.65042,14.43095,0.906429291,24228.64465,24.22864465,0.906429291,24.22864465,3.33,0.333,1.77,1.623,0.862
2019,HP301,1393,5,BWR,1,0.528569,0.037,0.049,1.131,1.64,3.28,2.262,1.591,1.094,333.24609,20.73875,25.30217,1.863466305,18304.12804,18.30412804,1.863466305,18.30412804,3.28,0.328,2.262,1.591,1.094
2019,HP301,1393,6,BWR,1,0.39891,0.016,0.03,1.088,1.377,2.754,2.176,1.347,1.072,208.9866,11.98296,13.47018,1.392869754,15357.25019,15.35725019,1.392869754,15.35725019,2.754,0.2754,2.176,1.347,1.072
2019,HP301,1393,7,BWR,1,0.510616,0.019,0.049,1.313,1.921,3.842,2.626,1.872,1.294,208.70712,16.15631,17.9362,3.415162904,6255.05838,6.25505838,3.415162904,6.25505838,3.842,0.3842,2.626,1.872,1.294
2019,HP301,1393,9,BWR,1,0.674227,0.023,0.042,1.352,1.647,3.294,2.704,1.605,1.329,452.42788,33.3315,34.47343,3.196785932,14485.76152,14.48576152,3.196785932,14.48576152,3.294,0.3294,2.704,1.605,1.329
2019,Hickory King,1314,6,BWR,1,0.342252,0.246,1.063,0.831,1.54,3.08,1.662,0.477,0.585,175.74493,14.64448,14.64448,0.694086622,25916.39904,25.91639904,0.694086622,25.91639904,3.08,0.308,1.662,0.477,0.585
2019,Hickory King,1314,6,BWR,2,0.342252,0.178,0.982,0.721,1.455,2.91,1.442,0.473,0.543,195.4501,10.06496,13.10093,0.428310448,46707.08405,46.70708405,0.428310448,46.70708405,2.91,0.291,1.442,0.473,0.543
2019,Hickory King,1314,6,BWR,3,0.342252,0.455,1.079,1.339,2.031,4.062,2.678,0.952,0.884,389.58116,23.36089,28.81085,3.829495256,10412.66598,10.41266598,3.829495256,10.41266598,4.062,0.4062,2.678,0.952,0.884
2019,Hickory King,1314,7,BWR,1,-0.07034,0.863,1.017,2.03,2.136,4.272,4.06,1.119,1.167,276.11324,16.11546,28.64721,14.03392798,2013.786919,2.013786919,14.03392798,2.013786919,4.272,0.4272,4.06,1.119,1.167
2019,Hickory King,1314,7,BWR,2,-0.07034,0.707,1.026,1.772,2.105,4.21,3.544,1.079,1.065,346.60184,10.00301,30.51145,9.198841465,3856.588097,3.856588097,9.198841465,3.856588097,4.21,0.421,3.544,1.079,1.065
2019,Hickory King,1314,9,BWR,2,-0.12919,1.059,1.584,2.348,2.91,5.82,4.696,1.326,1.289,243.75356,19.58943,36.68689,29.58537975,843.2946516,0.843294652,29.58537975,0.843294652,5.82,0.582,4.696,1.326,1.289
2019,Hickory King,1314,9,BWR,3,-0.12919,0.291,1.895,1.051,2.794,5.588,2.102,0.899,0.76,231.91948,17.85379,24.42052,2.547560058,9317.905983,9.317905983,2.547560058,9.317905983,5.588,0.5588,2.102,0.899,0.76
2019,Hickory King,1314,9,BWR,4,-0.12919,0.11,0.926,0.556,1.673,3.346,1.112,0.747,0.446,123.14219,9.98803,10.00083,0.225844853,55808.73809,55.80873809,0.225844853,55.80873809,3.346,0.3346,1.112,0.747,0.446
2019,Hickory King,1327,1,BWR,1,0.37682,0.513,1.228,1.414,2.369,4.738,2.828,1.141,0.901,452.22679,28.17113,35.90722,5.260211065,8799.513112,8.799513112,5.260211065,8.799513112,4.738,0.4738,2.828,1.141,0.901
2019,Hickory King,1327,2,BWR,1,0.619558,1.463,1.771,2.832,3.004,6.008,5.664,1.233,1.369,164.61818,22.62433,32.26262,53.58824778,314.4226082,0.314422608,53.58824778,0.314422608,6.008,0.6008,5.664,1.233,1.369
2019,Hickory King,1327,2,BWR,2,0.619558,1.155,1.683,2.293,3.077,6.154,4.586,1.394,1.138,214.02725,20.5494,30.639,29.13597406,751.8739814,0.751873981,29.13597406,0.751873981,6.154,0.6154,4.586,1.394,1.138
2019,Hickory King,1327,2,BWR,3,0.619558,1.124,2.031,2.306,3.309,6.618,4.612,1.278,1.182,283.68465,34.66185,47.37116,31.86871537,911.122573,0.911122573,31.86871537,0.911122573,6.618,0.6618,4.612,1.278,1.182
2019,Hickory King,1327,2,BWR,4,0.619558,1.362,1.513,2.494,2.859,5.718,4.988,1.346,1.132,209.33632,27.92841,32.20477,34.83320087,615.1155809,0.615115581,34.83320087,0.615115581,5.718,0.5718,4.988,1.346,1.132
2019,Hickory King,1327,3,BWR,1,0.788172,0.961,2.101,1.925,3.94,7.88,3.85,1.839,0.964,119.91712,21.65295,26.90068,22.07386106,556.0430434,0.556043043,22.07386106,0.556043043,7.88,0.788,3.85,1.839,0.964
